I, [2017-02-26T13:57:52.014147 #11262]  INFO -- Kitchen: -----> Starting Kitchen (v1.15.0)
E, [2017-02-26T13:57:52.017300 #11262] ERROR -- Kitchen: ------Exception-------
E, [2017-02-26T13:57:52.017366 #11262] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-02-26T13:57:52.017385 #11262] ERROR -- Kitchen: Message: Error parsing /home/sviat/ansible-test-kitchen-exmaple/.kitchen.yml as YAML.
Please run `kitchen diagnose --no-instances --loader' to help debug your issue.
E, [2017-02-26T13:57:52.017400 #11262] ERROR -- Kitchen: ----------------------
E, [2017-02-26T13:57:52.017412 #11262] ERROR -- Kitchen: ------Backtrace-------
E, [2017-02-26T13:57:52.017424 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/loader/yaml.rb:340:in `rescue in parse_yaml_string'
E, [2017-02-26T13:57:52.017437 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/loader/yaml.rb:329:in `parse_yaml_string'
E, [2017-02-26T13:57:52.017451 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/loader/yaml.rb:135:in `yaml'
E, [2017-02-26T13:57:52.017464 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/loader/yaml.rb:123:in `combined_hash'
E, [2017-02-26T13:57:52.017480 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2017-02-26T13:57:52.017501 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:152:in `data'
E, [2017-02-26T13:57:52.017516 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-02-26T13:57:52.017530 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-02-26T13:57:52.017544 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-02-26T13:57:52.017557 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-02-26T13:57:52.017570 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-02-26T13:57:52.017583 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-02-26T13:57:52.017596 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-02-26T13:57:52.017609 #11262] ERROR -- Kitchen: /usr/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-02-26T13:57:52.017623 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command/action.rb:34:in `call'
E, [2017-02-26T13:57:52.017636 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-02-26T13:57:52.017650 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-02-26T13:57:52.017665 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/thor-0.19.4/lib/thor/command.rb:27:in `run'
E, [2017-02-26T13:57:52.017687 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/thor-0.19.4/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-02-26T13:57:52.017709 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-02-26T13:57:52.017734 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/thor-0.19.4/lib/thor.rb:369:in `dispatch'
